,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE,Discount_Amount,CAR_AGE
620,TRIBER,RXZ,Renault,Petrol,2020,TN-12,Manual,1,76898,Chennai,12825,656000,726000,70000,3
621,Tiago,XZ PETROL,Tata,Petrol,2018,TN-19,Manual,2,38562,Chennai,8837,452000,475000,23000,5
622,Tiago,XT PETROL,Tata,Petrol,2021,TN-61,Manual,2,40397,Chennai,11320,579000,590000,11000,2
623,Tiago,XZ PETROL,Tata,Petrol,2017,TN-10,Manual,1,65287,Chennai,8465,433000,458000,25000,6
624,PUNCH,ACCOMPLISHED MT,Tata,Petrol,2023,TN-85,Manual,1,6872,Chennai,15073,771000,813000,42000,0
625,PUNCH,CREATIVE AMT 1.2 RTN DUAL TONEAutomatic,Tata,Petrol,2021,TN-31,Automatic,1,24354,Chennai,15288,782000,839000,57000,2
626,PUNCH,ADVENTURE MT,Tata,Petrol,2022,TN-73,Manual,1,36035,Chennai,13587,695000,705000,10000,1
627,Tiago,XE PETROL,Tata,Petrol,2020,TN-05,Manual,1,40531,Chennai,9697,496000,525000,29000,3
628,NEXON,XZ PLUS (O) PETROL,Tata,Petrol,2021,TN-11,Manual,1,16455,Chennai,18444,969000,1041000,72000,2
629,Tiago,XZA PLUS DUAL TONE PETROLAutomatic,Tata,Petrol,2020,TN-74,Automatic,1,12011,Chennai,12669,648000,725000,77000,3
630,ALTROZ,XZ PLUS I-TURBO PETROL,Tata,Petrol,2021,TN-11,Manual,1,15957,Chennai,15542,795000,837000,42000,2
631,PUNCH,CREATIVE  AMTAutomatic,Tata,Petrol,2021,TN-01,Automatic,1,9664,Chennai,15475,813000,854000,41000,2
632,Harrier,XTA 2.0L KRYOTEC PLUSAutomatic,Tata,Diesel,2021,TN-01,Automatic,1,17209,Chennai,36241,1904000,2054000,150000,2
633,TIGOR,XZA PETROLAutomatic,Tata,Petrol,2018,TN-14,Automatic,2,39542,Chennai,10889,557000,567000,10000,5
634,Tiago,XZ PLUS PETROL,Tata,Petrol,2020,TN-22,Manual,1,31679,Chennai,11065,566000,636000,70000,3
635,NEXON,XZA PLUS DIESEL DARK EDITIONAutomatic,Tata,Diesel,2021,TN-49,Automatic,1,29514,Chennai,20833,1094500,1154000,59500,2
636,Harrier,XZ 2.0L,Tata,Diesel,2019,TN-10,Manual,1,34965,Chennai,28494,1497000,1555000,58000,4
