,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE,Discount_Amount,CAR_AGE
776,Brio,S MT,Honda,Petrol,2013,MP-04,Manual,1,66139,Mori,5728,293000,329000,36000,10
777,WR-V,1.2L I-VTEC VX MT,Honda,Petrol,2019,MP-09,Manual,1,45119,Mori,14799,757000,856000,99000,4
778,Amaze,1.2 SMT I VTEC,Honda,Petrol,2017,MP-04,Manual,1,57971,Indore,8524,436000,500000,64000,6
779,Jazz,1.2L I-VTEC BASE,Honda,Petrol,2011,MP-09,Manual,1,60939,Mori,4829,247000,247000,0,12
780,BR-V,1.5L I-VTEC VX,Honda,Petrol,2017,MP-09,Manual,1,26283,Mori,12512,640000,698000,58000,6
781,Duster,85 PS RXS MT DIESEL,Renault,Diesel,2017,MP-04,Manual,1,103331,Mori,11105,568000,637000,69000,6
782,Kwid,RXT,Renault,Petrol,2018,MP-04,Manual,2,43158,Mori,5826,298000,355000,57000,5
783,TRIBER,RXL MT,Renault,Petrol,2019,MP-09,Manual,2,40131,Mori,10068,515000,515000,0,4
784,Duster,110 PS RXL DIESEL,Renault,Diesel,2012,MP-09,Manual,1,79121,Mori,6373,326000,345000,19000,11
785,Kwid,RXT 1.0,Renault,Petrol,2017,MP-04,Manual,1,30803,Mori,6139,314000,343000,29000,6
786,Kwid,RXT 1.0 (O),Renault,Petrol,2018,MP-04,Manual,1,25121,Mori,7058,361000,397000,36000,5
787,Duster,85 PS RXL DIESEL,Renault,Diesel,2014,MP-04,Manual,2,89206,Indore,8602,440000,440000,0,9
788,Kiger,RXZ MT DUAL TONE,Renault,Petrol,2021,MP-04,Manual,1,13481,Mori,14330,733000,856000,123000,2
789,Kwid,RXL,Renault,Petrol,2019,MP-41,Manual,2,44536,Mori,5357,274000,291000,17000,4
790,Kwid,RXL,Renault,Petrol,2017,MP-09,Manual,1,67660,Mori,5396,276000,290000,14000,6
791,Tiago,XE PETROL,Tata,Petrol,2017,MP-04,Manual,2,33353,Mori,7664,392000,441000,49000,6
792,NEXON,XM DIESEL,Tata,Diesel,2019,MP-09,Manual,1,110321,Mori,11926,610000,672000,62000,4
793,Tiago,XZA PETROLAutomatic,Tata,CNG,2018,MP-09,Automatic,2,89615,Mori,8055,412000,462000,50000,5
794,NEXON,XM SUNROOF PETROL,Tata,Petrol,2022,MP-04,Manual,1,27869,Mori,16845,885000,885000,0,1
795,TIGOR,XM PETROL,Tata,Petrol,2019,MP-04,Manual,1,12862,Mori,9638,493000,545000,52000,4
796,Tiago,XT PETROL,Tata,Petrol,2018,MP-09,Manual,2,90387,Mori,7273,372000,407000,35000,5
797,Tiago,XT PETROL,Tata,Petrol,2017,MP-09,Manual,1,45236,Mori,7116,364000,364000,0,6
798,Tiago,XE PETROL,Tata,Petrol,2020,MP-04,Manual,1,29600,Mori,8524,436000,528000,92000,3
799,PUNCH,ACCOMPLISHED AMTAutomatic,Tata,Petrol,2022,MP-04,Automatic,1,1523,Mori,15151,775000,868000,93000,1
800,TIGOR,XT PETROL,Tata,Petrol,2018,MP-09,Manual,1,92811,Mori,7585,388000,453000,65000,5
801,Go,T (O),Datsun,Petrol,2017,MP-04,Manual,1,115401,Mori,3734,191000,222000,31000,6
802,Go,T,Datsun,Petrol,2014,MP-04,Manual,1,82410,Mori,3793,194000,208000,14000,9
803,Go,T(O),Datsun,Petrol,2019,MP-41,Manual,1,25591,Mori,7253,371000,444000,73000,4
804,Plus,T(O),Datsun,Petrol,2018,MP-09,Manual,1,15317,Mori,7898,404000,404000,0,5
805,Go,T (O),Datsun,Petrol,2017,MP-04,Manual,1,55770,Mori,4360,223000,239000,16000,6
806,Go,S,Datsun,Petrol,2016,MP-04,Manual,1,61761,Indore,5044,258000,264000,6000,7
807,Polo,HIGHLINE PLUS 1.2(16 ALLOY,Volkswagen,Petrol,2017,MP-09,Manual,1,58137,Mori,8719,446000,540000,94000,6
808,Polo,HIGHLINE PLUS 1.0L TSI,Volkswagen,Petrol,2020,MP-04,Manual,1,75545,Mori,12610,645000,725000,80000,3
809,Polo,COMFORTLINE 1.2L PETROL,Volkswagen,Petrol,2011,MP-09,Manual,1,56942,Mori,4770,244000,244000,0,12
810,Ameo,HIGHLINE1.2L PLUS 16 ALLOY,Volkswagen,Petrol,2017,MP-09,Manual,1,36225,Mori,9697,496000,559000,63000,6
811,Ameo,TRENDLINE 1.2L,Volkswagen,CNG,2017,MP-09,Manual,1,70139,Mori,7801,399000,446000,47000,6
812,Polo,COMFORTLINE 1.2L PETROL,Volkswagen,Petrol,2011,MP-04,Manual,1,50015,Indore,5044,258000,258000,0,12
813,Polo,COMFORTLINE 1.2L,Volkswagen,Petrol,2015,MP-09,Manual,2,62004,Mori,7918,405000,431000,26000,8
814,Polo,GT TSI ATAutomatic,Volkswagen,Petrol,2018,MP-04,Automatic,1,65233,Mori,14721,753000,831000,78000,5
815,Polo,GT TSI 1.2 PETROL ATAutomatic,Volkswagen,Petrol,2017,MP-04,Automatic,1,28397,Indore,15054,770000,800000,30000,6
816,Polo,TRENDLINE 1.2L PETROL,Volkswagen,Petrol,2010,MP-04,Manual,1,88968,Mori,4809,246000,254000,8000,13
817,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2018,MP-04,Manual,1,100462,Mori,13099,670000,759000,89000,5
818,Ecosport,TITANIUM+ 1.5L DIESEL,Ford,Diesel,2017,MP-09,Manual,2,93866,Mori,11535,590000,721000,131000,6
819,FREESTYLE,TITANIUM PLUS 1.5 DIESEL,Ford,Diesel,2018,MP-04,Manual,1,71619,Mori,11261,576000,685000,109000,5
820,Ecosport,TREND+ 1.0L ECOBOOST,Ford,Petrol,2017,MP-04,Manual,1,87677,Mori,10694,547000,547000,0,6
821,FREESTYLE,TITANIUM PLUS 1.2 PETROL,Ford,Petrol,2021,MP-39,Manual,1,61260,Mori,13314,681000,775000,94000,2
822,FREESTYLE,TITANIUM 1.2 PETROL,Ford,Petrol,2019,MP-04,Manual,1,32784,Mori,10792,552000,629000,77000,4
823,FREESTYLE,TITANIUM 1.2 PETROL,Ford,Petrol,2019,MP-07,Manual,1,28416,Mori,11046,565000,639000,74000,4
824,Ecosport,TITANIUM 1.5L PETROL,Ford,Petrol,2019,MP-04,Manual,1,17705,Mori,13196,675000,675000,0,4
825,Ecosport,TITANIUM 1.5L PETROL,Ford,Petrol,2018,MP-04,Manual,1,67378,Mori,13372,684000,740000,56000,5
826,Ecosport,TITANIUM 1.5L PETROL,Ford,Petrol,2018,MP-09,Manual,2,49132,Mori,12004,614000,682000,68000,5
827,SELTOS,GTX 1.4 GDI AT PETROLAutomatic,KIA,Petrol,2019,MP-04,Automatic,1,22130,Indore,26419,1388000,1553000,165000,4
828,CARENS,LUXURY 1.5D MT 7STR,KIA,Diesel,2022,MP-09,Manual,1,24000,Indore,29404,1544800,1666000,121200,1
829,Rapid,STYLE 1.6 MPI ATAutomatic,Skoda,Petrol,2018,MP-09,Automatic,1,70893,Mori,15503,793000,876000,83000,5
830,Octavia,STYLE 2.0 TDI MT,Skoda,Diesel,2018,MP-09,Manual,1,95593,Mori,23412,1230000,1492000,262000,5
831,Rapid,AMBITION 1.6 MPI MT,Skoda,Petrol,2018,MP-09,Manual,1,33510,Mori,11574,592000,659000,67000,5
832,Compass,1.4 LIMITED PLUS ATAutomatic,Jeep,Petrol,2020,MP-09,Automatic,1,14522,Indore,36298,1907000,2009000,102000,3
