,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE
72,Kwid,RXT 1.0,Renault,Petrol,2018,TS-07,Manual,1,"84,020","Bachupally, Hyderabad","₹6,628","3,39,000","3,46,000"
73,Kwid,CLIMBER 1.0 AMTAutomatic,Renault,Petrol,2018,TS-09,Automatic,1,"37,830","Vanasthalipuram, Hyderabad","₹8,074","4,13,000","4,18,000"
74,TRIBER,RXT AMTAutomatic,Renault,Petrol,2022,TS-07,Automatic,1,"29,302","Vanasthalipuram, Hyderabad","₹15,054","7,70,000","8,30,000"
75,Kwid,RXT 1.0,Renault,Petrol,2017,TS-08,Manual,2,"39,992","Kompally, Hyderabad","₹6,530","3,34,000","3,48,000"
76,TRIBER,RXL MT,Renault,Petrol,2022,TS-08,Manual,1,"39,316","Kompally, Hyderabad","₹13,177","6,74,000","6,94,000"
77,Kwid,CLIMBER 1.0,Renault,Petrol,2019,TS-10,Manual,2,"36,221","Attapur, Hyderabad","₹7,957","4,07,000","4,18,000"
78,Kwid,CLIMBER MT 1.0,Renault,Petrol,2022,TS-07,Manual,1,"6,580","Attapur, Hyderabad","₹10,792","5,52,000","6,04,000"
79,Kwid,RXT 1.0 EASY-R  ATAutomatic,Renault,Petrol,2018,TS-08,Automatic,1,"97,709","Kompally, Hyderabad","₹7,644","3,91,000","4,25,000"
80,Tiago,XZ PETROL,Tata,Petrol,2017,TS-11,Manual,1,"38,500","Vanasthalipuram, Hyderabad","₹8,524","4,36,000","4,36,000"
81,TIGOR,XZ (O) PETROL,Tata,Petrol,2017,TS-08,Manual,1,"94,797","Bachupally, Hyderabad","₹9,580","4,90,000","5,04,000"
82,Safari,XZA PLUSAutomatic,Tata,Diesel,2021,TS-07,Automatic,1,"39,163","Bachupally, Hyderabad","₹38,144","20,04,000","20,56,000"
83,Safari,XT PLUS,Tata,Diesel,2021,TS-15,Manual,1,"31,083","Kompally, Hyderabad","₹33,234","17,46,000","19,82,000"
84,NEXON,XM SUNROOF PETROL,Tata,Petrol,2021,TS-35,Manual,1,"44,641","Kompally, Hyderabad","₹16,369","8,60,000","8,96,000"
85,Tiago,XZA PETROLAutomatic,Tata,Petrol,2018,TS-08,Automatic,1,"97,982","Attapur, Hyderabad","₹9,716","4,97,000","5,90,000"
86,TIGOR,XZ PETROL,Tata,Petrol,2021,TS-07,Manual,1,"14,867","Attapur, Hyderabad","₹12,473","6,38,000","6,87,000"
87,Tiago,XZ PETROL,Tata,Petrol,2019,TS-08,Manual,1,"40,689","Kompally, Hyderabad","₹10,088","5,16,000","5,50,000"
88,ALTROZ,XZ PETROL,Tata,Petrol,2020,TS-08,Manual,2,"41,382","Attapur, Hyderabad","₹13,802","7,06,000","8,04,000"
89,ALTROZ,XT I-TURBO PETROL,Tata,Petrol,2021,TS-08,Manual,1,"12,280","Vanasthalipuram, Hyderabad","₹14,545","7,44,000","8,57,000"
90,Tiago,XZ PETROL,Tata,Petrol,2018,TS-08,Manual,3,"57,380","Bachupally, Hyderabad","₹9,619","4,92,000","5,16,000"
91,NEXON,XM SUNROOF PETROL,Tata,Petrol,2022,TS-24,Manual,1,"49,091","Vanasthalipuram, Hyderabad","₹16,788","8,82,000","9,11,000"
92,ALTROZ,XZ 1.5 RTQ,Tata,Diesel,2021,TS-17,Manual,1,"61,626","Bachupally, Hyderabad","₹15,817","8,31,000","9,87,000"
93,Tiago,XT PETROL,Tata,Petrol,2021,TS-07,Manual,1,"30,224","Bachupally, Hyderabad","₹11,359","5,81,000","6,24,000"
94,NEXON,XZ PLUS DIESEL DARK EDITION,Tata,Diesel,2022,TS-08,Manual,1,"55,420","Bachupally, Hyderabad","₹21,375","11,23,000","11,83,000"
95,NEXON,XMA PLUS SUNROOF PETROLAutomatic,Tata,Petrol,2022,TS-27,Automatic,1,"17,400","Kompally, Hyderabad","₹19,034","10,00,000","10,44,000"
96,ALTROZ,XT I-TURBO PETROL,Tata,Petrol,2021,TS-09,Manual,2,"31,750","Vanasthalipuram, Hyderabad","₹14,584","7,46,000","8,10,000"
