,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE
200,Baleno,SIGMA PETROL 1.2,Maruti,Petrol,2021,GJ-24,Manual,1,"51,223","Naroda, Ahmedabad","₹10,557","5,40,000","5,94,000"
201,800,LXI,Maruti,Petrol,2015,GJ-09,Manual,1,"1,21,783","Naroda, Ahmedabad","₹4,438","2,27,000","2,36,000"
202,Celerio,ZXI AMTAutomatic,Maruti,CNG,2017,GJ-27,Automatic,2,"97,364","Karnavati Club, Ahmedabad","₹7,605","3,89,000","4,74,000"
203,Eeco,5 STR WITH A/C+HTR,Maruti,Petrol,2019,GJ-27,Manual,1,"30,023","Naroda, Ahmedabad","₹9,247","4,73,000","4,73,000"
204,i10,MAGNA 1.2,Hyundai,CNG,2012,GJ-18,Manual,1,"95,392","Karnavati Club, Ahmedabad","₹5,787","2,96,000","2,96,000"
205,Verna,1.6 VTVT SX,Hyundai,CNG,2019,GJ-01,Manual,1,"55,431","Karnavati Club, Ahmedabad","₹16,560","8,70,000","9,41,000"
206,VENUE,S+ 1.2,Hyundai,Petrol,2022,GJ-23,Manual,1,"12,610","Karnavati Club, Ahmedabad","₹17,549","9,22,000","9,22,000"
207,i10,MAGNA 1.1,Hyundai,Petrol,2010,GJ-01,Manual,2,"1,24,848","Naroda, Ahmedabad","₹3,460","1,77,000","1,88,000"
208,i10,MAGNA 1.1,Hyundai,CNG,2014,GJ-01,Manual,2,"1,05,080","Naroda, Ahmedabad","₹5,787","2,96,000","3,09,000"
209,i20,SPORTZ (O) 1.2,Hyundai,Petrol,2010,GJ-01,Manual,1,"66,314","Naroda, Ahmedabad","₹5,318","2,72,000","2,72,000"
210,SANTRO,SPORTZ MT,Hyundai,Petrol,2019,GJ-01,Manual,1,"13,394","Karnavati Club, Ahmedabad","₹10,205","5,22,000","5,48,000"
211,Eon,D-LITE+,Hyundai,Petrol,2013,GJ-01,Manual,3,"58,000","Naroda, Ahmedabad","₹3,734","1,91,000","1,96,000"
212,Creta,S 1.5 DIESEL,Hyundai,Diesel,2021,GJ-18,Manual,1,"49,915","Karnavati Club, Ahmedabad","₹23,735","12,47,000","13,54,000"
213,i10,SPORTZ 1.2 KAPPA VTVT,Hyundai,Petrol,2015,GJ-05,Manual,2,"72,036","Naroda, Ahmedabad","₹7,742","3,96,000","4,64,000"
214,Creta,E PLUS 1.6 PETROL,Hyundai,Petrol,2019,GJ-06,Manual,1,"43,804","Karnavati Club, Ahmedabad","₹16,769","8,81,000","9,62,000"
215,Elantra,1.6 SX AT DIESELAutomatic,Hyundai,Diesel,2014,GJ-01,Automatic,1,"96,579","Karnavati Club, Ahmedabad","₹10,753","5,50,000","5,73,000"
216,i20,MAGNA 1.2,Hyundai,Petrol,2016,GJ-01,Manual,2,"66,630","Karnavati Club, Ahmedabad","₹9,912","5,07,000","5,88,000"
217,i20,SPORTZ 1.2,Hyundai,Petrol,2012,GJ-01,Manual,2,"76,643","Naroda, Ahmedabad","₹6,412","3,28,000","3,50,000"
218,i10,SPORTZ 1.1,Hyundai,CNG,2015,GJ-24,Manual,2,"76,494","Naroda, Ahmedabad","₹6,647","3,40,000","3,58,000"
219,VENUE,S+ 1.2,Hyundai,Petrol,2022,GJ-01,Manual,1,"20,228","Karnavati Club, Ahmedabad","₹16,084","8,45,000","8,95,000"
220,Creta,SX PLUS AT 1.6 DIESELAutomatic,Hyundai,Diesel,2016,GJ-10,Automatic,2,"1,01,807","Naroda, Ahmedabad","₹15,589","8,19,000","8,95,000"
221,Verna,1.6 VTVT SX (O) ATAutomatic,Hyundai,Petrol,2017,GJ-05,Automatic,2,"68,196","Naroda, Ahmedabad","₹16,522","8,68,000","9,64,000"
222,Xcent,S 1.2,Hyundai,Petrol,2014,GJ-01,Manual,1,"47,443","Karnavati Club, Ahmedabad","₹7,820","4,00,000","4,00,000"
223,Creta,S IMT 1.5 PETROL,Hyundai,Petrol,2022,GJ-36,Manual,1,"4,236","Karnavati Club, Ahmedabad","₹24,649","12,95,000","13,24,000"
224,City,1.5L I-VTEC E MT,Honda,Petrol,2010,GJ-06,Manual,3,"73,789","Naroda, Ahmedabad","₹4,497","2,30,000","2,48,000"
225,Civic,1.8L I-VTEC VX CVTAutomatic,Honda,Petrol,2019,GJ-01,Automatic,1,"36,576","Naroda, Ahmedabad","₹30,892","16,23,000","16,86,000"
226,Jazz,1.2L I-VTEC ZX CVTAutomatic,Honda,Petrol,2022,GJ-01,Automatic,2,"5,581","Naroda, Ahmedabad","₹19,834","10,42,000","10,42,000"
227,Jazz,1.2L I-VTEC E,Honda,CNG,2015,GJ-01,Manual,2,"74,494","Naroda, Ahmedabad","₹7,005","3,58,300","3,79,000"
228,Brio,S MT,Honda,Petrol,2014,GJ-27,Manual,2,"75,029","Naroda, Ahmedabad","₹7,155","3,66,000","3,80,000"
229,Amaze,1.2L I-VTEC E,Honda,Petrol,2021,GJ-01,Manual,1,"1,01,603","Karnavati Club, Ahmedabad","₹10,225","5,23,000","5,75,000"
230,Amaze,1.2L I-VTEC V,Honda,Petrol,2019,GJ-18,Manual,1,"29,929","Naroda, Ahmedabad","₹13,431","6,87,000","7,44,000"
231,Amaze,1.2L I-VTEC E,Honda,Petrol,2019,GJ-23,Manual,1,"43,774","Karnavati Club, Ahmedabad","₹11,261","5,76,000","5,90,000"
232,City,1.5L I-VTEC V MT,Honda,Petrol,2011,GJ-01,Manual,1,"1,14,079","Naroda, Ahmedabad","₹6,530","3,34,000","3,50,000"
233,City,1.5L I-VTEC VX CVTAutomatic,Honda,Petrol,2017,GJ-01,Automatic,1,"62,802","Naroda, Ahmedabad","₹14,096","7,21,000","7,58,000"
234,Jazz,1.2L I-VTEC S ATAutomatic,Honda,Petrol,2015,GJ-01,Automatic,2,"1,12,010","Naroda, Ahmedabad","₹7,722","3,95,000","4,07,000"
235,Jazz,1.2L I-VTEC VX,Honda,Petrol,2016,GJ-01,Manual,3,"34,902","Naroda, Ahmedabad","₹8,543","4,37,000","5,08,000"
236,City,1.5L I-VTEC SV CVTAutomatic,Honda,Petrol,2016,GJ-01,Automatic,3,"70,833","Naroda, Ahmedabad","₹11,046","5,65,000","6,29,000"
237,Amaze,1.2L I-VTEC S,Honda,Petrol,2017,GJ-23,Manual,2,"33,511","Karnavati Club, Ahmedabad","₹9,032","4,62,000","5,23,000"
238,Amaze,1.2L I-VTEC V,Honda,CNG,2019,GJ-16,Manual,1,"87,157","Karnavati Club, Ahmedabad","₹11,730","6,00,000","6,35,000"
239,BR-V,1.5L I- DTEC S,Honda,Diesel,2017,GJ-01,Manual,1,"64,898","Naroda, Ahmedabad","₹12,199","6,24,000","6,81,000"
240,Brio,S MT,Honda,Petrol,2014,GJ-18,Manual,1,"63,492","Naroda, Ahmedabad","₹7,801","3,99,000","4,07,000"
241,City,1.5L I-VTEC VX CVTAutomatic,Honda,Petrol,2020,GJ-02,Automatic,1,"36,212","Naroda, Ahmedabad","₹20,614","10,83,000","12,29,000"
242,Amaze,1.2L I-VTEC S,Honda,Petrol,2015,GJ-01,Manual,1,"1,04,289","Naroda, Ahmedabad","₹7,077","3,62,000","3,97,000"
243,City,1.5L I-VTEC S MT,Honda,Petrol,2013,GJ-01,Manual,2,"88,102","Karnavati Club, Ahmedabad","₹8,211","4,20,000","4,27,000"
244,Kwid,RXT 0.8,Renault,Petrol,2018,GJ-27,Manual,1,"49,162","Karnavati Club, Ahmedabad","₹5,630","2,88,000","3,01,000"
245,Kiger,RXL MT,Renault,Petrol,2021,GJ-15,Manual,2,"20,537","Naroda, Ahmedabad","₹12,434","6,36,000","6,70,000"
246,TRIBER,RXZ,Renault,Petrol,2019,GJ-27,Manual,1,"33,912","Karnavati Club, Ahmedabad","₹11,183","5,72,000","6,12,000"
247,Kwid,CLIMBER MT 1.0,Renault,Petrol,2022,GJ-01,Manual,1,"4,139","Naroda, Ahmedabad","₹9,736","4,98,000","5,67,000"
248,TRIBER,RXT,Renault,Petrol,2019,GJ-15,Manual,2,"33,367","Karnavati Club, Ahmedabad","₹10,147","5,19,000","5,42,000"
249,Kwid,RXL,Renault,Petrol,2019,GJ-18,Manual,1,"74,035","Karnavati Club, Ahmedabad","₹6,491","3,32,000","3,41,000"
250,Kwid,RXT 1.0 (O),Renault,Petrol,2019,GJ-06,Manual,1,"50,524","Naroda, Ahmedabad","₹6,940","3,55,000","3,75,000"
251,Kiger,RXZ MT,Renault,Petrol,2021,GJ-18,Manual,1,"15,987","Karnavati Club, Ahmedabad","₹13,763","7,04,000","7,68,000"
252,Kwid,RXT 1.0,Renault,Petrol,2018,GJ-06,Manual,2,"33,257","Karnavati Club, Ahmedabad","₹6,667","3,41,000","3,53,000"
253,Duster,RXL PETROL,Renault,Petrol,2017,GJ-09,Manual,1,"37,457","Karnavati Club, Ahmedabad","₹12,317","6,30,000","6,61,000"
254,Kwid,RXT 1.0 AMT (O)Automatic,Renault,Petrol,2019,GJ-01,Automatic,1,"28,055","Naroda, Ahmedabad","₹8,504","4,35,000","4,55,000"
255,TRIBER,RXT AMTAutomatic,Renault,Petrol,2020,GJ-01,Automatic,1,"27,982","Karnavati Club, Ahmedabad","₹11,847","6,06,000","6,45,000"
256,Kwid,RXT 0.8,Renault,Petrol,2021,GJ-01,Manual,1,"20,600","Naroda, Ahmedabad","₹8,485","4,34,000","4,71,000"
257,TRIBER,RXL MT,Renault,Petrol,2022,GJ-02,Manual,1,"19,500","Karnavati Club, Ahmedabad","₹12,884","6,59,000","6,78,000"
258,Kwid,RXT 1.0 (O),Renault,Petrol,2019,GJ-09,Manual,1,"64,974","Naroda, Ahmedabad","₹7,644","3,91,000","3,91,000"
259,Kwid,RXT 1.0 (O),Renault,Petrol,2019,GJ-23,Manual,2,"65,113","Naroda, Ahmedabad","₹7,019","3,59,000","3,88,000"
260,Kwid,RXT 1.0,Renault,Petrol,2018,GJ-18,Manual,1,"53,519","Karnavati Club, Ahmedabad","₹6,921","3,54,000","3,54,000"
261,TRIBER,RXZ,Renault,Petrol,2022,GJ-18,Manual,1,"3,138","Naroda, Ahmedabad","₹15,284","8,03,000","8,03,000"
262,TIGOR,XZA PLUS PETROLAutomatic,Tata,Petrol,2022,GJ-01,Automatic,1,"9,606","Naroda, Ahmedabad","₹15,380","8,08,000","8,46,000"
263,TIGOR,XZ PLUS CNG,Tata,CNG,2022,GJ-01,Manual,1,"10,076","Naroda, Ahmedabad","₹15,475","8,13,000","8,52,000"
264,Safari,XZA PLUS DARK EDITIONAutomatic,Tata,Diesel,2022,GJ-38,Automatic,1,"48,544","Naroda, Ahmedabad","₹42,865","22,52,000","22,97,000"
265,Tiago,XT PETROL,Tata,CNG,2018,GJ-07,Manual,1,"56,470","Naroda, Ahmedabad","₹8,426","4,31,000","4,56,000"
266,Tiago,XT PETROL,Tata,CNG,2017,GJ-18,Manual,1,"88,955","Naroda, Ahmedabad","₹7,937","4,06,000","4,24,000"
267,Tiago,XT PETROL,Tata,Petrol,2016,GJ-01,Manual,1,"1,10,096","Naroda, Ahmedabad","₹6,491","3,32,000","3,71,000"
268,Tiago,XT (O) PETROL,Tata,Petrol,2021,GJ-01,Manual,1,"7,660","Naroda, Ahmedabad","₹10,831","5,54,000","5,85,000"
269,TIGOR,XT PETROL,Tata,Petrol,2017,GJ-38,Manual,1,"1,10,462","Naroda, Ahmedabad","₹7,976","4,08,000","4,44,000"
270,ALTROZ,XM PLUS PETROL,Tata,Petrol,2022,GJ-06,Manual,1,"3,094","Naroda, Ahmedabad","₹13,138","6,72,000","7,34,000"
271,ALTROZ,XZ PETROL,Tata,Petrol,2020,GJ-01,Manual,1,"17,013","Naroda, Ahmedabad","₹12,669","6,48,000","7,21,000"
272,TIGOR,XZ CNG,Tata,CNG,2022,GJ-01,Manual,1,"24,810","Karnavati Club, Ahmedabad","₹15,190","7,77,000","8,05,000"
273,Harrier,XT PLUS 2.0L KRYOTEC DARK EDITON,Tata,Diesel,2022,GJ-01,Manual,1,"35,498","Karnavati Club, Ahmedabad","₹31,292","16,44,000","18,10,000"
274,Tiago,XZ PETROL,Tata,Petrol,2017,GJ-01,Manual,1,"58,875","Karnavati Club, Ahmedabad","₹7,976","4,08,000","4,26,000"
275,NEXON,XZA PLUS SUNROOF PETROLAutomatic,Tata,Petrol,2021,GJ-01,Automatic,1,"10,667","Naroda, Ahmedabad","₹20,142","10,58,200","11,30,000"
276,TIGOR,XZ 1.2 REVOTRON,Tata,Petrol,2018,GJ-27,Manual,1,"87,012","Naroda, Ahmedabad","₹9,462","4,84,000","5,34,000"
277,Tiago,XT CNG,Tata,CNG,2022,GJ-09,Manual,1,"25,813","Naroda, Ahmedabad","₹12,825","6,56,000","7,11,000"
278,ALTROZ,XZ (O) PETROL,Tata,Petrol,2020,GJ-27,Manual,1,"84,125","Karnavati Club, Ahmedabad","₹13,353","6,83,000","7,03,000"
279,ALTROZ,XE PETROL,Tata,Petrol,2021,GJ-23,Manual,1,"45,360","Karnavati Club, Ahmedabad","₹11,183","5,72,000","6,05,000"
280,ALTROZ,XT DIESEL,Tata,Diesel,2022,GJ-01,Manual,1,"15,968","Karnavati Club, Ahmedabad","₹16,331","8,58,000","9,26,000"
281,Tiago,XZA PETROLAutomatic,Tata,Petrol,2018,GJ-01,Automatic,1,"42,397","Naroda, Ahmedabad","₹9,580","4,90,000","5,20,000"
282,Go,T,Datsun,Petrol,2018,GJ-38,Manual,1,"65,622","Karnavati Club, Ahmedabad","₹5,533","2,83,000","2,83,000"
283,Go,S 1.0 AMTAutomatic,Datsun,Petrol,2018,GJ-01,Automatic,1,"38,225","Naroda, Ahmedabad","₹6,315","3,23,000","3,56,000"
284,Go,1.0 S ATAutomatic,Datsun,Petrol,2019,GJ-06,Automatic,1,"12,339","Naroda, Ahmedabad","₹5,333","2,72,799","2,72,799"
285,Go,T (O),Datsun,Petrol,2016,GJ-06,Manual,1,"42,561","Karnavati Club, Ahmedabad","₹4,213","2,15,499","2,15,499"
286,Go,T (O),Datsun,Petrol,2021,GJ-06,Manual,1,"2,669","Karnavati Club, Ahmedabad","₹8,328","4,26,000","4,68,000"
287,Go,1.0 S ATAutomatic,Datsun,Petrol,2018,GJ-05,Automatic,2,"39,123","Naroda, Ahmedabad","₹6,233","3,18,799","3,23,799"
288,Go,T,Datsun,Petrol,2020,GJ-01,Manual,1,"24,070","Karnavati Club, Ahmedabad","₹5,667","2,89,849","2,89,849"
289,Go,T (O),Datsun,Petrol,2016,GJ-01,Manual,1,"50,724","Karnavati Club, Ahmedabad","₹3,480","1,78,000","1,78,000"
290,Go,T,Datsun,Petrol,2014,GJ-06,Manual,2,"69,870","Karnavati Club, Ahmedabad","₹2,600","1,33,000","1,33,000"
291,Go,S,Datsun,Petrol,2016,GJ-13,Manual,1,"57,313","Karnavati Club, Ahmedabad","₹3,597","1,84,000","1,84,000"
292,Polo,1.0 GT TSI ATAutomatic,Volkswagen,Petrol,2020,GJ-06,Automatic,3,"39,632","Naroda, Ahmedabad","₹17,683","9,29,000","9,68,000"
293,Ameo,TRENDLINE 1.5L,Volkswagen,Diesel,2017,GJ-12,Manual,2,"87,481","Naroda, Ahmedabad","₹7,644","3,91,000","4,19,000"
294,Vento,HIGHLINE DIESEL 1.5,Volkswagen,Diesel,2015,GJ-01,Manual,2,"81,113","Naroda, Ahmedabad","₹9,638","4,93,000","5,28,000"
295,Polo,TRENDLINE 1.0L,Volkswagen,Petrol,2019,GJ-17,Manual,2,"31,753","Naroda, Ahmedabad","₹10,147","5,19,000","5,80,000"
296,Polo,1.0 GT TSI ATAutomatic,Volkswagen,Petrol,2021,GJ-15,Automatic,1,"29,121","Karnavati Club, Ahmedabad","₹16,160","8,49,000","9,00,000"
297,Ameo,HIGHLINE PLUS 1.5L AT 16 ALLOYAutomatic,Volkswagen,Diesel,2017,GJ-01,Automatic,1,"46,831","Karnavati Club, Ahmedabad","₹11,691","5,98,000","6,28,000"
298,Vento,COMFORTLINE 1.0 TSI MT,Volkswagen,Petrol,2020,GJ-24,Manual,2,"69,728","Naroda, Ahmedabad","₹14,936","7,64,000","9,66,000"
299,Polo,Trendline 1.0 L Petrol,Volkswagen,Petrol,2020,GJ-38,Manual,1,"94,796","Naroda, Ahmedabad","₹10,420","5,33,000","5,71,000"
300,VIRTUS,TOPLINE TSI 1.0 MT,Volkswagen,Petrol,2022,GJ-18,Manual,1,"14,302","Karnavati Club, Ahmedabad","₹28,399","14,92,000","15,20,000"
301,Polo,COMFORTLINE 1.2L,Volkswagen,Petrol,2017,GJ-01,Manual,1,"83,286","Naroda, Ahmedabad","₹10,283","5,26,000","5,26,000"
302,Ameo,HIGHLINE1.5L,Volkswagen,Diesel,2017,GJ-03,Manual,2,"1,07,294","Naroda, Ahmedabad","₹8,622","4,41,000","4,91,000"
303,Vento,HIGHLINE PLUS 1.0 TSI ATAutomatic,Volkswagen,Petrol,2022,GJ-01,Automatic,1,"4,332","Naroda, Ahmedabad","₹23,774","12,49,000","13,46,000"
304,Polo,1.0 GT TSI ATAutomatic,Volkswagen,Petrol,2021,GJ-03,Automatic,2,"77,961","Naroda, Ahmedabad","₹16,636","8,74,000","9,27,000"
305,TAIGUN,HIGHLINE 1.0 TSI ATAutomatic,Volkswagen,Petrol,2022,GJ-01,Automatic,2,"14,450","Karnavati Club, Ahmedabad","₹26,724","14,04,000","14,98,000"
306,Ameo,HIGHLINE1.5L,Volkswagen,Diesel,2016,GJ-01,Manual,1,"1,09,668","Karnavati Club, Ahmedabad","₹9,384","4,80,000","5,10,000"
307,Ameo,TRENDLINE 1.0L,Volkswagen,CNG,2019,GJ-03,Manual,1,"84,609","Karnavati Club, Ahmedabad","₹9,306","4,76,000","5,26,000"
308,Vento,HIGHLINE 1.5 ATAutomatic,Volkswagen,Diesel,2016,GJ-01,Automatic,2,"1,08,164","Karnavati Club, Ahmedabad","₹11,359","5,81,000","6,26,000"
309,Ecosport,TREND 1.5L DIESEL,Ford,Diesel,2016,GJ-27,Manual,2,"1,03,336","Karnavati Club, Ahmedabad","₹9,443","4,83,000","5,21,000"
310,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2019,GJ-27,Manual,1,"77,394","Naroda, Ahmedabad","₹15,380","8,08,000","8,39,000"
311,FREESTYLE,TITANIUM PLUS 1.2 PETROL,Ford,Petrol,2018,GJ-01,Manual,1,"42,024","Karnavati Club, Ahmedabad","₹10,029","5,13,000","6,02,000"
312,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2017,GJ-01,Manual,2,"1,06,683","Karnavati Club, Ahmedabad","₹10,753","5,50,000","5,93,000"
313,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2019,GJ-05,Manual,2,"67,581","Karnavati Club, Ahmedabad","₹15,361","8,07,000","8,72,000"
314,Aspire,TITANIUM 1.2 PETROL,Ford,Petrol,2020,GJ-01,Manual,1,"21,882","Karnavati Club, Ahmedabad","₹12,532","6,41,000","7,00,000"
315,Ecosport,1.5 TITANIUM PLUS TI VCT ATAutomatic,Ford,Petrol,2018,GJ-01,Automatic,3,"39,722","Naroda, Ahmedabad","₹13,724","7,02,000","8,85,000"
316,Ecosport,TITANIUM + 1.5L PETROL ATAutomatic,Ford,Petrol,2018,GJ-38,Automatic,1,"49,360","Naroda, Ahmedabad","₹14,682","7,51,000","8,83,000"
317,Ecosport,TITANIUM + 1.5L PETROL ATAutomatic,Ford,CNG,2018,GJ-01,Automatic,1,"1,12,071","Naroda, Ahmedabad","₹14,389","7,36,000","8,20,000"
318,Ecosport,TITANIUM + 1.5L PETROL ATAutomatic,Ford,Petrol,2018,GJ-06,Automatic,1,"71,070","Naroda, Ahmedabad","₹14,643","7,49,000","8,12,000"
319,FREESTYLE,TITANIUM 1.2 PETROL,Ford,Petrol,2018,GJ-02,Manual,1,"32,375","Naroda, Ahmedabad","₹10,225","5,23,000","5,23,000"
320,SELTOS,HTX 1.5 CVT PETROLAutomatic,KIA,Petrol,2021,GJ-01,Automatic,1,"26,485","Naroda, Ahmedabad","₹27,333","14,36,000","14,78,000"
321,SONET,HTX 1.0 IMT,KIA,Petrol,2021,GJ-06,Manual,1,"11,487","Naroda, Ahmedabad","₹17,055","8,96,000","9,66,000"
322,SELTOS,GTK 1.4 PETROL,KIA,Petrol,2019,GJ-02,Manual,1,"77,498","Karnavati Club, Ahmedabad","₹18,672","9,81,000","10,73,000"
323,SELTOS,HTK PLUS 1.5 IMT,KIA,Petrol,2022,GJ-23,Manual,1,"27,272","Naroda, Ahmedabad","₹23,488","12,34,000","13,17,000"
324,SONET,HTX 1.0 IMT,KIA,Petrol,2021,GJ-27,Manual,1,"20,504","Karnavati Club, Ahmedabad","₹17,778","9,34,000","9,65,000"
325,SONET,GTX PLUS 1.0 IMT,KIA,Petrol,2020,GJ-18,Manual,1,"31,724","Karnavati Club, Ahmedabad","₹17,816","9,36,000","9,73,000"
326,SELTOS,HTX PLUS 1.5 DIESEL,KIA,Diesel,2022,GJ-23,Manual,1,"83,732","Karnavati Club, Ahmedabad","₹28,780","15,12,000","16,84,000"
327,SONET,HTX PLUS 1.0 IMT,KIA,Petrol,2021,GJ-06,Manual,1,"19,937","Karnavati Club, Ahmedabad","₹21,908","11,51,000","11,97,000"
328,SELTOS,HTK 1.5 PETROL,KIA,Petrol,2020,GJ-01,Manual,1,"14,469","Naroda, Ahmedabad","₹20,861","10,95,999","10,95,999"
329,SELTOS,HTX 1.5 PETROL MT,KIA,Petrol,2020,GJ-01,Manual,1,"26,465","Naroda, Ahmedabad","₹21,666","11,38,249","11,38,599"
330,Rapid,MONTE CARLO 1.6 MPI ATAutomatic,Skoda,Petrol,2017,GJ-01,Automatic,1,"81,408","Naroda, Ahmedabad","₹13,001","6,65,000","7,38,000"
331,Rapid,AMBITION 1.6 MPI MT,Skoda,Petrol,2018,GJ-01,Manual,2,"94,375","Naroda, Ahmedabad","₹10,616","5,43,000","6,35,000"
332,SLAVIA,STYLE 1.0 TSI ATAutomatic,Skoda,Petrol,2022,GJ-18,Automatic,1,"4,479","Karnavati Club, Ahmedabad","₹30,868","16,21,699","16,65,499"
333,Rapid,AMBITION 1.6 MPI MT PLUS,Skoda,Petrol,2016,GJ-03,Manual,1,"32,603","Naroda, Ahmedabad","₹11,971","6,12,299","6,34,349"
334,Rapid,1.5 TDI MT AMBITION,Skoda,Diesel,2017,GJ-01,Manual,1,"62,357","Naroda, Ahmedabad","₹12,786","6,54,000","6,54,000"
335,Rapid,STYLE 1.0 ATAutomatic,Skoda,Petrol,2021,GJ-18,Automatic,1,"20,355","Karnavati Club, Ahmedabad","₹20,347","10,69,000","11,30,000"
336,Rapid,1.6 MPI STYLE ATAutomatic,Skoda,Petrol,2017,GJ-06,Automatic,1,"36,023","Naroda, Ahmedabad","₹15,503","7,93,000","8,74,000"
337,Octavia,LK 1.8 TSI ATAutomatic,Skoda,Petrol,2018,GJ-01,Automatic,1,"62,595","Karnavati Club, Ahmedabad","₹29,255","15,37,000","18,02,000"
338,Rapid,AMBITION 1.5 TDI ATAutomatic,Skoda,Diesel,2015,GJ-18,Automatic,2,"1,13,961","Naroda, Ahmedabad","₹9,834","5,03,000","5,32,000"
339,Octavia,1.8 TSI STYLE PLUS ATAutomatic,Skoda,Petrol,2017,GJ-06,Automatic,2,"64,547","Karnavati Club, Ahmedabad","₹21,014","11,04,000","12,28,000"
340,Compass,LIMITED 1.4 PETROL ATAutomatic,Jeep,Petrol,2017,GJ-06,Automatic,2,"75,511","Karnavati Club, Ahmedabad","₹18,482","9,71,000","10,10,000"
341,Compass,LONGITUDE (O) 2.0 DIESEL,Jeep,Diesel,2019,GJ-06,Manual,1,"26,583","Karnavati Club, Ahmedabad","₹23,983","12,60,000","13,63,000"
342,Compass,TRAILHAWK 2.0  AT 4X4Automatic,Jeep,Diesel,2019,GJ-01,Automatic,1,"84,927","Karnavati Club, Ahmedabad","₹32,091","16,86,000","19,47,000"
343,Compass,LONGITUDE (O) 1.4 PETROL ATAutomatic,Jeep,Petrol,2019,GJ-27,Automatic,1,"46,811","Naroda, Ahmedabad","₹25,867","13,59,000","15,05,000"
344,CHEROKEE,LIMITED DIESELAutomatic,Jeep,Diesel,2016,GJ-03,Automatic,1,"91,825","Naroda, Ahmedabad","₹50,060","26,30,000","32,05,000"
345,Compass,LIMITED (O) 2.0,Jeep,Diesel,2018,GJ-27,Manual,1,"41,843","Naroda, Ahmedabad","₹22,510","11,82,599","11,89,899"
346,Compass,2.0 LONGITUDE (O),Jeep,Diesel,2017,GJ-12,Manual,1,"50,933","Naroda, Ahmedabad","₹21,661","11,38,000","12,01,000"
347,Compass,2.0 LIMITED,Jeep,Diesel,2018,GJ-01,Manual,1,"37,513","Naroda, Ahmedabad","₹23,922","12,56,799","13,13,499"
348,Compass,2.0 LIMITED,Jeep,Diesel,2018,GJ-01,Manual,1,"74,266","Naroda, Ahmedabad","₹24,050","12,63,499","12,63,499"
349,Compass,LIMITED 1.4 ATAutomatic,Jeep,Petrol,2017,GJ-23,Automatic,1,"63,442","Naroda, Ahmedabad","₹19,420","10,20,299","11,14,299"
350,Country,T4 MOMENTUMAutomatic,Volvo,Petrol,2015,GJ-01,Automatic,1,"21,635","Naroda, Ahmedabad","₹26,286","13,80,999","14,16,499"
351,Dzire,VXI,Maruti,Petrol,2014,KA-53,Manual,1,"54,558","Bellahalli, Bengaluru","₹9,853","5,04,000","5,46,000"
352,Eeco,5 STR WITH A/C+HTR,Maruti,Petrol,2020,KA-02,Manual,2,"18,285",Sonnappanahalli,"₹8,798","4,50,000","4,50,000"
353,Swift,VXI,Maruti,Petrol,2022,KA-52,Manual,1,"16,522","Hosur Road, Singasandra, Bengaluru","₹15,132","7,74,000","8,14,000"
354,Swift,VXI,Maruti,Petrol,2013,KA-01,Manual,1,"92,239","Bellahalli, Bengaluru","₹9,149","4,68,000","4,68,000"
355,IGNIS,ALPHA 1.2 AMTAutomatic,Maruti,Petrol,2018,KA-50,Automatic,1,"41,256","GT World Mall, Bengaluru","₹13,079","6,69,000","7,30,000"
356,Wagon-R,VXI 1.2,Maruti,Petrol,2020,KA-03,Manual,1,"63,404","GT World Mall, Bengaluru","₹10,811","5,53,000","6,03,000"
357,IGNIS,ALPHA 1.2,Maruti,Petrol,2018,KA-04,Manual,1,"36,714","Bellahalli, Bengaluru","₹10,792","5,52,000","5,52,000"
358,K10,VXI,Maruti,Petrol,2016,KA-50,Manual,3,"65,484","Whitefield Main Road, Bhoruka Tech Park, Benga","₹6,217","3,18,000","3,26,000"
359,1.0,VXI (O) AMTAutomatic,Maruti,Petrol,2016,KA-03,Automatic,2,"28,352","Bellahalli, Bengaluru","₹8,504","4,35,000","4,35,000"
360,Swift,VXI,Maruti,Petrol,2020,KA-51,Manual,1,"61,433","Bellahalli, Bengaluru","₹12,649","6,47,000","6,93,000"
361,IGNIS,ZETA 1.2,Maruti,Petrol,2020,KA-51,Manual,1,"56,218","Bellahalli, Bengaluru","₹11,456","5,86,000","6,53,000"
362,Celerio,ZXI,Maruti,Petrol,2015,KA-04,Manual,1,"95,115","Whitefield Main Road, Bhoruka Tech Park, Benga","₹8,641","4,42,000","4,58,000"
363,Baleno,ZETA PETROL 1.2,Maruti,Petrol,2016,KA-02,Manual,1,"73,582","Bellahalli, Bengaluru","₹13,959","7,14,000","7,14,000"
364,Omni,5 STR,Maruti,Petrol,2015,KA-01,Manual,1,"56,292","Hosur Road, Singasandra, Bengaluru","₹5,220","2,67,000","2,75,000"
365,Ertiga,VXI,Maruti,Petrol,2012,KA-05,Manual,2,"49,317","Whitefield Main Road, Bhoruka Tech Park, Benga","₹11,026","5,64,000","6,26,000"
